AccumulateCovid19,areaNm,increase,AccumulateReleased,localIncrease,CovidForeigner,baseYmd
10724,전라북도,102,9756,99,3,2022-01-14
17129,전라북도,947,11933,944,3,2022-02-03
929839,전라북도,1931,0,1929,2,2022-12-10
835996,전라북도,449,0,441,8,2022-09-26
550483,전라북도,3515,0,3514,1,2022-04-26
602214,전라북도,109,0,106,3,2022-06-13
849566,전라북도,706,0,704,2,2022-10-14
20486,전라북도,1271,21756,1269,2,2022-02-07
643832,전라북도,2921,0,2893,28,2022-07-29
511431,전라북도,5344,0,5343,1,2022-04-15
7264177,경기도,14716,0,14701,15,2022-11-26
4981389,경기도,2583,0,2571,12,2022-06-28
7592942,경기도,18481,0,18474,7,2022-12-16
6616190,경기도,4168,0,4153,15,2022-09-26
6495551,경기도,26133,0,26110,23,2022-09-14
4988935,경기도,2463,0,2453,10,2022-07-01
7218261,경기도,19803,0,19793,10,2022-11-23
220435,경기도,2426,168420,2383,43,2022-01-22
4875504,경기도,6863,0,6863,0,2022-05-19
378200,경기도,17976,222415,17925,51,2022-02-11
213160,경기도,2176,167630,2116,60,2022-01-19
4994412,경기도,2663,0,2637,26,2022-07-03
237491,경기도,4765,169935,4738,27,2022-01-27
4974445,경기도,1862,0,1858,4,2022-06-24
655560,경기도,29562,230244,29558,4,2022-02-22
4955893,경기도,2348,0,2346,2,2022-06-14
4734258,경기도,5341,0,5341,0,2022-05-02
6718831,경기도,4399,0,4397,2,2022-10-11
57567,강원도,3380,28233,3375,5,2022-02-27
818103,강원도,2183,0,2179,4,2022-12-07
699131,강원도,2274,0,2270,4,2022-09-09
14357,강원도,99,12971,87,12,2022-01-22
512487,강원도,660,0,658,2,2022-05-27
226823,강원도,6610,82795,6607,3,2022-03-21
478821,강원도,1840,0,1838,2,2022-04-29
832530,강원도,1975,0,1972,3,2022-12-15
743478,강원도,942,0,939,3,2022-10-21
522477,강원도,154,0,154,0,2022-06-20
518905,강원도,540,0,539,1,2022-06-09
31379,강원도,1729,20795,1727,2,2022-02-17
716414,강원도,1397,0,1379,18,2022-09-20
518365,강원도,587,0,587,0,2022-06-08
625605,강원도,2757,0,2748,9,2022-08-16
29650,강원도,1784,19885,1758,26,2022-02-16
779201,강원도,976,0,976,0,2022-11-14
802104,강원도,1278,0,1277,1,2022-11-27
527404,강원도,596,0,581,15,2022-07-06
761101,강원도,1827,0,1826,1,2022-11-03
517778,강원도,307,0,307,0,2022-06-07
819958,강원도,1855,0,1855,0,2022-12-08
516301,강원도,586,0,585,1,2022-06-03
35912,대전광역시,2590,14176,2589,1,2022-02-16
28638,대전광역시,1511,14043,1509,2,2022-02-12
458072,대전광역시,3891,0,3891,0,2022-04-20
14249,대전광역시,226,12045,221,5,2022-01-25
418582,대전광역시,3677,0,3677,0,2022-04-11
721829,대전광역시,742,0,735,7,2022-10-06
27127,대전광역시,1423,13946,1422,1,2022-02-11
827347,대전광역시,2644,0,2644,0,2022-12-20
690422,대전광역시,2279,0,2267,12,2022-09-08
756629,대전광역시,1785,0,1785,0,2022-11-10
837401,대전광역시,1704,0,1701,3,2022-12-25
472793,대전광역시,2478,0,2477,1,2022-04-26
445413,대전광역시,3836,0,3836,0,2022-04-16
409502,대전광역시,7005,0,7005,0,2022-04-09
740552,대전광역시,1035,0,1033,2,2022-10-30
730705,대전광역시,761,0,759,2,2022-10-20
