areaNm,daywkDivNm,touNum,baseYmd
충청남도,화요일,274610.0,2022-01-11
전라북도,화요일,163968.0,2022-01-11
전라남도,화요일,221998.0,2022-01-11
경상북도,화요일,316778.0,2022-01-11
경상남도,화요일,298637.5,2022-01-11
제주특별자치도,화요일,188811.0,2022-01-11
서울특별시,수요일,1302070.0,2022-01-12
부산광역시,수요일,296275.0,2022-01-12
대구광역시,수요일,207235.0,2022-01-12
인천광역시,수요일,305294.5,2022-01-12
광주광역시,수요일,131950.0,2022-01-12
대전광역시,수요일,163824.5,2022-01-12
울산광역시,수요일,101895.5,2022-01-12
세종특별자치시,수요일,59787.0,2022-01-12
경기도,수요일,1246871.5,2022-01-12
강원도,수요일,265877.5,2022-01-12
충청북도,수요일,204144.5,2022-01-12
충청남도,수요일,282866.5,2022-01-12
전라북도,수요일,168147.0,2022-01-12
전라남도,수요일,226051.0,2022-01-12
경상북도,수요일,317338.0,2022-01-12
경상남도,수요일,300744.5,2022-01-12
제주특별자치도,수요일,195048.0,2022-01-12
서울특별시,목요일,1333909.5,2022-01-13
부산광역시,목요일,304531.5,2022-01-13
대구광역시,목요일,212170.0,2022-01-13
인천광역시,목요일,310156.0,2022-01-13
광주광역시,목요일,132086.5,2022-01-13
대전광역시,목요일,167160.0,2022-01-13
울산광역시,목요일,105990.5,2022-01-13
세종특별자치시,목요일,61166.0,2022-01-13
경기도,목요일,1281024.5,2022-01-13
강원도,목요일,273784.0,2022-01-13
충청북도,목요일,207364.5,2022-01-13
충청남도,목요일,283587.5,2022-01-13
전라북도,목요일,169823.5,2022-01-13
전라남도,목요일,224588.0,2022-01-13
경상북도,목요일,324002.0,2022-01-13
경상남도,목요일,308745.5,2022-01-13
제주특별자치도,목요일,200490.5,2022-01-13
서울특별시,금요일,1429624.0,2022-01-14
부산광역시,금요일,334257.0,2022-01-14
대구광역시,금요일,239666.0,2022-01-14
인천광역시,금요일,347203.5,2022-01-14
광주광역시,금요일,153587.0,2022-01-14
대전광역시,금요일,191506.0,2022-01-14
울산광역시,금요일,114093.0,2022-01-14
세종특별자치시,금요일,68169.5,2022-01-14
경기도,금요일,1414357.0,2022-01-14
강원도,금요일,343091.0,2022-01-14
충청북도,금요일,233229.5,2022-01-14
충청남도,금요일,327162.5,2022-01-14
전라북도,금요일,202762.0,2022-01-14
전라남도,금요일,259756.0,2022-01-14
경상북도,금요일,365519.0,2022-01-14
경상남도,금요일,343091.0,2022-01-14
제주특별자치도,금요일,206923.5,2022-01-14
서울특별시,토요일,1660543.5,2022-01-15
부산광역시,토요일,430622.5,2022-01-15
대구광역시,토요일,308819.0,2022-01-15
인천광역시,토요일,467799.5,2022-01-15
광주광역시,토요일,186630.5,2022-01-15
대전광역시,토요일,250470.5,2022-01-15
울산광역시,토요일,141001.0,2022-01-15
세종특별자치시,토요일,86670.5,2022-01-15
경기도,토요일,1821148.0,2022-01-15
강원도,토요일,520002.0,2022-01-15
충청북도,토요일,303684.5,2022-01-15
충청남도,토요일,465482.5,2022-01-15
전라북도,토요일,286986.0,2022-01-15
전라남도,토요일,346584.0,2022-01-15
경상북도,토요일,514153.5,2022-01-15
경상남도,토요일,453890.5,2022-01-15
제주특별자치도,토요일,208712.0,2022-01-15
서울특별시,일요일,1384855.5,2022-01-16
부산광역시,일요일,395216.5,2022-01-16
대구광역시,일요일,272097.0,2022-01-16
인천광역시,일요일,414676.5,2022-01-16
광주광역시,일요일,159582.5,2022-01-16
대전광역시,일요일,213643.5,2022-01-16
울산광역시,일요일,133952.0,2022-01-16
세종특별자치시,일요일,75082.0,2022-01-16
경기도,일요일,1669444.0,2022-01-16
강원도,일요일,482317.5,2022-01-16
충청북도,일요일,273994.0,2022-01-16
충청남도,일요일,416580.5,2022-01-16
전라북도,일요일,259164.5,2022-01-16
전라남도,일요일,325388.0,2022-01-16
경상북도,일요일,502330.5,2022-01-16
경상남도,일요일,433807.5,2022-01-16
제주특별자치도,일요일,208099.5,2022-01-16
서울특별시,월요일,1333878.0,2022-01-17
부산광역시,월요일,315651.0,2022-01-17
대구광역시,월요일,219296.0,2022-01-17
인천광역시,월요일,315014.0,2022-01-17
광주광역시,월요일,142821.0,2022-01-17
대전광역시,월요일,171969.0,2022-01-17
울산광역시,월요일,107786.0,2022-01-17
세종특별자치시,월요일,60427.5,2022-01-17
경기도,월요일,1297614.5,2022-01-17
강원도,월요일,305599.0,2022-01-17
충청북도,월요일,208677.0,2022-01-17
충청남도,월요일,297780.0,2022-01-17
전라북도,월요일,179105.5,2022-01-17
전라남도,월요일,240971.5,2022-01-17
경상북도,월요일,330561.0,2022-01-17
경상남도,월요일,316015.0,2022-01-17
제주특별자치도,월요일,207235.0,2022-01-17
서울특별시,화요일,1378464.5,2022-01-18
부산광역시,화요일,313894.0,2022-01-18
대구광역시,화요일,220881.5,2022-01-18
인천광역시,화요일,321618.5,2022-01-18
광주광역시,화요일,145159.0,2022-01-18
대전광역시,화요일,176148.0,2022-01-18
울산광역시,화요일,110152.0,2022-01-18
세종특별자치시,화요일,65110.5,2022-01-18
경기도,화요일,1338956.5,2022-01-18
강원도,화요일,283629.5,2022-01-18
충청북도,화요일,216811.0,2022-01-18
충청남도,화요일,303117.5,2022-01-18
전라북도,화요일,180957.0,2022-01-18
전라남도,화요일,249368.0,2022-01-18
경상북도,화요일,338695.0,2022-01-18
경상남도,화요일,322476.0,2022-01-18
제주특별자치도,화요일,205625.0,2022-01-18
서울특별시,수요일,1331456.0,2022-01-19
부산광역시,수요일,319630.5,2022-01-19
대구광역시,수요일,221322.5,2022-01-19
인천광역시,수요일,305371.5,2022-01-19
광주광역시,수요일,143846.5,2022-01-19
대전광역시,수요일,177583.0,2022-01-19
울산광역시,수요일,111324.5,2022-01-19
세종특별자치시,수요일,63654.5,2022-01-19
경기도,수요일,1268302.0,2022-01-19
강원도,수요일,268191.0,2022-01-19
충청북도,수요일,211099.0,2022-01-19
충청남도,수요일,291938.5,2022-01-19
전라북도,수요일,179347.0,2022-01-19
전라남도,수요일,253638.0,2022-01-19
경상북도,수요일,339006.5,2022-01-19
경상남도,수요일,326361.0,2022-01-19
제주특별자치도,수요일,205936.5,2022-01-19
서울특별시,목요일,1427226.5,2022-01-20
부산광역시,목요일,326648.0,2022-01-20
대구광역시,목요일,228140.5,2022-01-20
인천광역시,목요일,332843.0,2022-01-20
광주광역시,목요일,146681.5,2022-01-20
대전광역시,목요일,181615.0,2022-01-20
울산광역시,목요일,113477.0,2022-01-20
세종특별자치시,목요일,68673.5,2022-01-20
경기도,목요일,1385485.5,2022-01-20
강원도,목요일,274379.0,2022-01-20
충청북도,목요일,220220.0,2022-01-20
충청남도,목요일,307681.5,2022-01-20
전라북도,목요일,186501.0,2022-01-20
전라남도,목요일,257708.5,2022-01-20
경상북도,목요일,345999.5,2022-01-20
경상남도,목요일,333819.5,2022-01-20
제주특별자치도,목요일,207172.0,2022-01-20
서울특별시,금요일,1526791.0,2022-01-21
부산광역시,금요일,356450.5,2022-01-21
대구광역시,금요일,252199.5,2022-01-21
인천광역시,금요일,370118.0,2022-01-21
광주광역시,금요일,162050.0,2022-01-21
대전광역시,금요일,202891.5,2022-01-21
울산광역시,금요일,122136.0,2022-01-21
세종특별자치시,금요일,74581.5,2022-01-21
경기도,금요일,1523417.0,2022-01-21
강원도,금요일,347130.0,2022-01-21
충청북도,금요일,247845.5,2022-01-21
충청남도,금요일,347606.0,2022-01-21
전라북도,금요일,211186.5,2022-01-21
전라남도,금요일,279090.0,2022-01-21
경상북도,금요일,382774.0,2022-01-21
경상남도,금요일,364952.0,2022-01-21
제주특별자치도,금요일,206720.5,2022-01-21
서울특별시,토요일,1720428.5,2022-01-22
부산광역시,토요일,447811.0,2022-01-22
대구광역시,토요일,314944.0,2022-01-22
인천광역시,토요일,492569.0,2022-01-22
광주광역시,토요일,194754.0,2022-01-22
대전광역시,토요일,265510.0,2022-01-22
울산광역시,토요일,145712.0,2022-01-22
세종특별자치시,토요일,90625.5,2022-01-22
경기도,토요일,1941894.5,2022-01-22
강원도,토요일,526358.0,2022-01-22
충청북도,토요일,312931.5,2022-01-22
충청남도,토요일,477571.5,2022-01-22
전라북도,토요일,291091.5,2022-01-22
전라남도,토요일,358414.0,2022-01-22
경상북도,토요일,523901.0,2022-01-22
경상남도,토요일,470718.5,2022-01-22
제주특별자치도,토요일,203518.0,2022-01-22
서울특별시,일요일,1437422.0,2022-01-23
부산광역시,일요일,405377.0,2022-01-23
대구광역시,일요일,266409.5,2022-01-23
인천광역시,일요일,437311.0,2022-01-23
광주광역시,일요일,167097.0,2022-01-23
대전광역시,일요일,223240.5,2022-01-23
울산광역시,일요일,134676.5,2022-01-23
세종특별자치시,일요일,72079.0,2022-01-23
경기도,일요일,1794485.0,2022-01-23
강원도,일요일,491414.0,2022-01-23
충청북도,일요일,291595.5,2022-01-23
충청남도,일요일,431910.5,2022-01-23
전라북도,일요일,265020.0,2022-01-23
전라남도,일요일,341019.0,2022-01-23
경상북도,일요일,517433.0,2022-01-23
경상남도,일요일,440849.5,2022-01-23
제주특별자치도,일요일,199370.5,2022-01-23
서울특별시,월요일,1422064.0,2022-01-24
부산광역시,월요일,328646.5,2022-01-24
대구광역시,월요일,230503.0,2022-01-24
인천광역시,월요일,344830.5,2022-01-24
광주광역시,월요일,150034.5,2022-01-24
대전광역시,월요일,184768.5,2022-01-24
울산광역시,월요일,111576.5,2022-01-24
세종특별자치시,월요일,67578.0,2022-01-24
경기도,월요일,1431958.5,2022-01-24
강원도,월요일,308682.5,2022-01-24
충청북도,월요일,226999.5,2022-01-24
충청남도,월요일,315028.0,2022-01-24
전라북도,월요일,190816.5,2022-01-24
전라남도,월요일,256749.5,2022-01-24
경상북도,월요일,347700.5,2022-01-24
경상남도,월요일,330144.5,2022-01-24
제주특별자치도,월요일,196780.5,2022-01-24
서울특별시,화요일,1448272.0,2022-01-25
부산광역시,화요일,332934.0,2022-01-25
대구광역시,화요일,230639.5,2022-01-25
인천광역시,화요일,346398.5,2022-01-25
광주광역시,화요일,151151.0,2022-01-25
대전광역시,화요일,181832.0,2022-01-25
울산광역시,화요일,116620.0,2022-01-25
세종특별자치시,화요일,68607.0,2022-01-25
경기도,화요일,1432602.5,2022-01-25
강원도,화요일,280360.5,2022-01-25
충청북도,화요일,223587.0,2022-01-25
충청남도,화요일,311150.0,2022-01-25
전라북도,화요일,187764.5,2022-01-25
전라남도,화요일,261145.5,2022-01-25
경상북도,화요일,352691.5,2022-01-25
경상남도,화요일,340494.0,2022-01-25
