areaNm,touNum,baseYmd,AccumulateCovid19,increase,localIncrease,CovidForeigner
울산광역시,100023.0,2022-01-10,7253.0,23.0,20.0,3.0
세종특별자치시,55765.5,2022-01-10,2278.0,13.0,12.0,1.0
경기도,1209768.0,2022-01-10,198485.0,1014.0,982.0,32.0
강원도,286373.5,2022-01-10,13074.0,60.0,56.0,4.0
충청북도,196227.5,2022-01-10,12080.0,30.0,27.0,3.0
충청남도,275131.5,2022-01-10,19202.0,101.0,90.0,11.0
전라북도,168945.0,2022-01-10,10401.0,96.0,93.0,3.0
전라남도,232886.5,2022-01-10,6786.0,86.0,83.0,3.0
경상북도,314940.5,2022-01-10,16197.0,88.0,79.0,9.0
경상남도,298193.0,2022-01-10,21826.0,80.0,77.0,3.0
제주특별자치도,188692.0,2022-01-10,4831.0,13.0,8.0,5.0
서울특별시,1284853.5,2022-01-11,236946.0,755.0,670.0,85.0
부산광역시,294770.0,2022-01-11,27130.0,115.0,108.0,7.0
대구광역시,200259.5,2022-01-11,24218.0,71.0,66.0,5.0
인천광역시,297230.5,2022-01-11,38955.0,154.0,140.0,14.0
광주광역시,127396.5,2022-01-11,9090.0,176.0,175.0,1.0
대전광역시,160282.5,2022-01-11,12741.0,43.0,34.0,9.0
울산광역시,102469.5,2022-01-11,7275.0,22.0,17.0,5.0
세종특별자치시,57890.0,2022-01-11,2294.0,16.0,15.0,1.0
경기도,1225423.5,2022-01-11,199600.0,1115.0,1055.0,60.0
강원도,265020.0,2022-01-11,13162.0,88.0,85.0,3.0
충청북도,197547.0,2022-01-11,12134.0,54.0,53.0,1.0
충청남도,274610.0,2022-01-11,19307.0,105.0,98.0,7.0
전라북도,163968.0,2022-01-11,10459.0,58.0,55.0,3.0
전라남도,221998.0,2022-01-11,6874.0,88.0,87.0,1.0
경상북도,316778.0,2022-01-11,16257.0,60.0,58.0,2.0
경상남도,298637.5,2022-01-11,21918.0,92.0,84.0,8.0
제주특별자치도,188811.0,2022-01-11,4846.0,15.0,13.0,2.0
서울특별시,1302070.0,2022-01-12,238039.0,1093.0,973.0,120.0
부산광역시,296275.0,2022-01-12,27294.0,164.0,156.0,8.0
대구광역시,207235.0,2022-01-12,24311.0,93.0,91.0,2.0
인천광역시,305294.5,2022-01-12,39216.0,262.0,243.0,19.0
광주광역시,131950.0,2022-01-12,9248.0,158.0,158.0,0.0
대전광역시,163824.5,2022-01-12,12831.0,90.0,81.0,9.0
울산광역시,101895.5,2022-01-12,7302.0,27.0,27.0,0.0
세종특별자치시,59787.0,2022-01-12,2308.0,14.0,14.0,0.0
경기도,1246871.5,2022-01-12,201227.0,1629.0,1567.0,62.0
강원도,265877.5,2022-01-12,13279.0,117.0,113.0,4.0
충청북도,204144.5,2022-01-12,12202.0,68.0,66.0,2.0
충청남도,282866.5,2022-01-12,19422.0,115.0,112.0,3.0
전라북도,168147.0,2022-01-12,10517.0,58.0,58.0,0.0
전라남도,226051.0,2022-01-12,7038.0,164.0,160.0,4.0
경상북도,317338.0,2022-01-12,16334.0,77.0,72.0,5.0
경상남도,300744.5,2022-01-12,22037.0,119.0,112.0,7.0
제주특별자치도,195048.0,2022-01-12,4851.0,5.0,4.0,1.0
서울특별시,1333909.5,2022-01-13,239014.0,978.0,858.0,120.0
부산광역시,304531.5,2022-01-13,27456.0,162.0,156.0,6.0
대구광역시,212170.0,2022-01-13,24436.0,125.0,119.0,6.0
인천광역시,310156.0,2022-01-13,39456.0,240.0,224.0,16.0
광주광역시,132086.5,2022-01-13,9436.0,188.0,182.0,6.0
대전광역시,167160.0,2022-01-13,12899.0,68.0,63.0,5.0
울산광역시,105990.5,2022-01-13,7329.0,27.0,26.0,1.0
세종특별자치시,61166.0,2022-01-13,2315.0,7.0,6.0,1.0
경기도,1281024.5,2022-01-13,202762.0,1535.0,1444.0,91.0
강원도,273784.0,2022-01-13,13368.0,89.0,82.0,7.0
충청북도,207364.5,2022-01-13,12263.0,61.0,58.0,3.0
충청남도,283587.5,2022-01-13,19553.0,131.0,126.0,5.0
전라북도,169823.5,2022-01-13,10623.0,106.0,106.0,0.0
전라남도,224588.0,2022-01-13,7174.0,136.0,133.0,3.0
경상북도,324002.0,2022-01-13,16433.0,99.0,92.0,7.0
