areaNm,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes,touNum,avgTemp,AccumulateCovid19,increase
광주광역시,2022-01-09,1,0,0,1,1,0,1,0,1,0,148298.5,3.3,8781.0,92.0
대전광역시,2022-01-09,1,0,0,1,1,0,0,1,1,0,196164.5,2.5,12665.0,40.0
울산광역시,2022-01-09,1,0,0,1,1,0,1,0,1,0,124526.5,5.5,7230.0,34.0
세종특별자치시,2022-01-09,1,0,0,1,1,0,0,1,1,0,62573.0,1.8,2265.0,13.0
경기도,2022-01-09,1,0,0,1,1,0,0,1,1,0,1557339.0,0.8,197471.0,1114.0
강원도,2022-01-09,1,0,0,1,1,0,0,1,1,0,451433.5,-0.4,13014.0,77.0
충청북도,2022-01-09,0,1,0,1,1,0,0,1,1,0,261719.5,-0.6,12050.0,34.0
충청남도,2022-01-09,1,0,0,1,1,0,0,1,1,0,393820.0,0.1,19104.0,111.0
전라북도,2022-01-09,1,0,0,1,1,0,0,1,1,0,241433.5,2.9,10305.0,76.0
전라남도,2022-01-09,1,0,0,1,1,0,1,0,1,0,324047.5,2.4,6700.0,112.0
경상북도,2022-01-09,1,0,0,1,1,0,0,1,1,0,493769.5,1.0,16109.0,93.0
경상남도,2022-01-09,1,0,0,1,1,0,1,0,1,0,408705.5,2.5,21746.0,98.0
제주특별자치도,2022-01-09,1,0,0,1,1,0,1,0,1,0,184961.0,7.7,4818.0,11.0
서울특별시,2022-01-10,1,0,1,0,1,0,1,0,0,1,1244827.5,0.5,236192.0,781.0
부산광역시,2022-01-10,1,0,1,0,1,0,0,1,1,0,291161.5,7.4,27015.0,165.0
대구광역시,2022-01-10,1,0,1,0,1,0,0,1,1,0,201432.0,3.0,24148.0,94.0
인천광역시,2022-01-10,1,0,1,0,1,0,1,0,0,1,292082.0,-0.1,38801.0,125.0
광주광역시,2022-01-10,1,0,1,0,1,0,0,1,1,0,131302.5,2.8,8914.0,133.0
대전광역시,2022-01-10,1,0,1,0,1,0,1,0,1,0,159712.0,0.7,12698.0,33.0
울산광역시,2022-01-10,1,0,1,0,1,0,1,0,1,0,100023.0,6.2,7253.0,23.0
세종특별자치시,2022-01-10,1,0,1,0,1,0,1,0,0,1,55765.5,0.1,2278.0,13.0
경기도,2022-01-10,1,0,1,0,0,1,1,0,1,0,1209768.0,-1.4,198485.0,1014.0
강원도,2022-01-10,0,1,1,0,1,0,1,0,1,0,286373.5,-1.7,13074.0,60.0
충청북도,2022-01-10,0,1,1,0,1,0,1,0,0,1,196227.5,-2.3,12080.0,30.0
충청남도,2022-01-10,1,0,1,0,1,0,1,0,0,1,275131.5,-0.5,19202.0,101.0
전라북도,2022-01-10,1,0,1,0,1,0,0,1,1,0,168945.0,1.7,10401.0,96.0
전라남도,2022-01-10,1,0,1,0,1,0,0,1,1,0,232886.5,2.5,6786.0,86.0
경상북도,2022-01-10,1,0,1,0,1,0,1,0,1,0,314940.5,-0.3,16197.0,88.0
경상남도,2022-01-10,1,0,1,0,1,0,0,1,1,0,298193.0,1.4,21826.0,80.0
제주특별자치도,2022-01-10,1,0,1,0,1,0,1,0,0,1,188692.0,7.6,4831.0,13.0
서울특별시,2022-01-11,1,0,1,0,1,0,1,0,0,1,1284853.5,-7.4,236946.0,755.0
부산광역시,2022-01-11,1,0,1,0,1,0,1,0,1,0,294770.0,1.5,27130.0,115.0
대구광역시,2022-01-11,1,0,1,0,1,0,1,0,1,0,200259.5,-0.9,24218.0,71.0
인천광역시,2022-01-11,1,0,1,0,1,0,1,0,1,0,297230.5,-7.5,38955.0,154.0
광주광역시,2022-01-11,1,0,1,0,1,0,1,0,0,1,127396.5,-1.6,9090.0,176.0
대전광역시,2022-01-11,1,0,1,0,1,0,1,0,0,1,160282.5,-3.8,12741.0,43.0
울산광역시,2022-01-11,1,0,1,0,1,0,1,0,1,0,102469.5,0.2,7275.0,22.0
세종특별자치시,2022-01-11,1,0,1,0,1,0,1,0,0,1,57890.0,-4.5,2294.0,16.0
경기도,2022-01-11,1,0,1,0,1,0,1,0,0,1,1225423.5,-5.4,199600.0,1115.0
강원도,2022-01-11,0,1,1,0,1,0,1,0,0,1,265020.0,-5.1,13162.0,88.0
충청북도,2022-01-11,0,1,1,0,1,0,1,0,0,1,197547.0,-6.5,12134.0,54.0
충청남도,2022-01-11,1,0,1,0,1,0,1,0,1,0,274610.0,-4.4,19307.0,105.0
전라북도,2022-01-11,1,0,1,0,1,0,1,0,0,1,163968.0,-2.7,10459.0,58.0
전라남도,2022-01-11,1,0,1,0,1,0,1,0,0,1,221998.0,-0.3,6874.0,88.0
경상북도,2022-01-11,1,0,1,0,1,0,1,0,0,1,316778.0,-3.0,16257.0,60.0
경상남도,2022-01-11,1,0,1,0,1,0,1,0,1,0,298637.5,-1.7,21918.0,92.0
제주특별자치도,2022-01-11,1,0,1,0,1,0,1,0,0,1,188811.0,3.6,4846.0,15.0
서울특별시,2022-01-12,1,0,1,0,1,0,1,0,1,0,1302070.0,-7.7,238039.0,1093.0
부산광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,296275.0,-1.3,27294.0,164.0
대구광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,207235.0,-3.2,24311.0,93.0
인천광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,305294.5,-6.9,39216.0,262.0
광주광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,131950.0,-2.5,9248.0,158.0
대전광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,163824.5,-5.1,12831.0,90.0
울산광역시,2022-01-12,1,0,1,0,1,0,1,0,1,0,101895.5,-1.9,7302.0,27.0
세종특별자치시,2022-01-12,1,0,1,0,1,0,1,0,1,0,59787.0,-5.8,2308.0,14.0
경기도,2022-01-12,1,0,1,0,1,0,1,0,1,0,1246871.5,-7.1,201227.0,1629.0
강원도,2022-01-12,0,1,1,0,1,0,1,0,1,0,265877.5,-8.6,13279.0,117.0
충청북도,2022-01-12,0,1,1,0,1,0,1,0,1,0,204144.5,-9.1,12202.0,68.0
충청남도,2022-01-12,1,0,1,0,1,0,1,0,1,0,282866.5,-5.7,19422.0,115.0
전라북도,2022-01-12,1,0,1,0,1,0,1,0,1,0,168147.0,-3.7,10517.0,58.0
전라남도,2022-01-12,1,0,1,0,1,0,1,0,1,0,226051.0,-1.3,7038.0,164.0
경상북도,2022-01-12,1,0,1,0,1,0,1,0,1,0,317338.0,-5.6,16334.0,77.0
경상남도,2022-01-12,1,0,1,0,1,0,1,0,1,0,300744.5,-3.0,22037.0,119.0
제주특별자치도,2022-01-12,1,0,1,0,1,0,1,0,1,0,195048.0,3.8,4851.0,5.0
서울특별시,2022-01-13,1,0,1,0,1,0,1,0,1,0,1333909.5,-6.4,239014.0,978.0
부산광역시,2022-01-13,1,0,1,0,1,0,1,0,1,0,304531.5,-1.1,27456.0,162.0
대구광역시,2022-01-13,1,0,1,0,1,0,1,0,1,0,212170.0,-2.8,24436.0,125.0
인천광역시,2022-01-13,1,0,1,0,1,0,1,0,1,0,310156.0,-5.6,39456.0,240.0
광주광역시,2022-01-13,1,0,1,0,1,0,1,0,1,0,132086.5,-2.5,9436.0,188.0
대전광역시,2022-01-13,1,0,1,0,1,0,1,0,0,1,167160.0,-4.5,12899.0,68.0
울산광역시,2022-01-13,1,0,1,0,1,0,1,0,1,0,105990.5,-1.9,7329.0,27.0
세종특별자치시,2022-01-13,1,0,1,0,1,0,1,0,1,0,61166.0,-4.9,2315.0,7.0
경기도,2022-01-13,1,0,1,0,1,0,1,0,1,0,1281024.5,-6.3,202762.0,1535.0
강원도,2022-01-13,0,1,1,0,1,0,1,0,1,0,273784.0,-8.5,13368.0,89.0
충청북도,2022-01-13,0,1,1,0,1,0,1,0,1,0,207364.5,-8.0,12263.0,61.0
충청남도,2022-01-13,1,0,1,0,1,0,1,0,0,1,283587.5,-4.4,19553.0,131.0
전라북도,2022-01-13,1,0,1,0,1,0,1,0,0,1,169823.5,-3.9,10623.0,106.0
전라남도,2022-01-13,1,0,1,0,1,0,1,0,0,1,224588.0,-1.2,7174.0,136.0
경상북도,2022-01-13,1,0,1,0,1,0,1,0,1,0,324002.0,-5.2,16433.0,99.0
경상남도,2022-01-13,1,0,1,0,1,0,1,0,1,0,308745.5,-3.9,22152.0,115.0
제주특별자치도,2022-01-13,1,0,1,0,1,0,1,0,0,1,200490.5,4.0,4858.0,7.0
서울특별시,2022-01-14,1,0,1,0,1,0,1,0,1,0,1429624.0,-4.8,239950.0,939.0
부산광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,334257.0,-0.2,27583.0,127.0
대구광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,239666.0,-2.6,24526.0,90.0
인천광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,347203.5,-4.7,39722.0,266.0
광주광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,153587.0,-0.9,9660.0,224.0
대전광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,191506.0,-4.0,12965.0,66.0
